iter	Logloss
0	0.6812428157
1	0.6743703842
2	0.667442894
3	0.6601188024
4	0.6545940399
5	0.6481601715
6	0.6415127436
7	0.6363898595
8	0.6299886703
9	0.6226179759
10	0.61808122
11	0.6130143483
12	0.606155777
13	0.6003728231
14	0.5958335876
15	0.5930900574
16	0.5881007512
17	0.5840819677
18	0.5799084981
19	0.5758885066
20	0.5718825022
21	0.5671413422
22	0.5636918386
23	0.5613424937
24	0.5587307612
25	0.5558079402
26	0.5534723918
27	0.5502363841
28	0.5468924205
29	0.5432757696
30	0.5402159373
31	0.5374602
32	0.5350812276
33	0.5316155752
34	0.5293082237
35	0.5259956042
36	0.5217645645
37	0.518808492
38	0.5172531764
39	0.5144766172
40	0.511171786
41	0.5076926549
42	0.5050849279
43	0.5023005803
44	0.4993766149
45	0.4979517619
46	0.4953398387
47	0.4934860865
48	0.4910502116
49	0.4893120448
50	0.4866993586
51	0.4836171468
52	0.48147494
53	0.479810969
54	0.4771383603
55	0.4759545008
56	0.4734555244
57	0.4714610736
58	0.4691962878
59	0.466766866
60	0.4650600433
61	0.4630073229
62	0.4609885534
63	0.4585131963
64	0.4568702698
65	0.4541292191
66	0.4513771693
67	0.4491145452
68	0.4468618711
69	0.4449260076
70	0.4421677907
71	0.4404434204
72	0.4378543854
73	0.4355481148
74	0.4342009226
75	0.4329405467
76	0.431320413
77	0.42858874
78	0.4268857638
79	0.4247274081
80	0.4221829732
81	0.420430247
82	0.4185438792
83	0.4164078077
84	0.4132813454
85	0.4109964371
86	0.408419927
87	0.4068560918
88	0.404983743
89	0.4037459056
90	0.4027786255
91	0.4009843826
92	0.3982186635
93	0.3962210655
94	0.3942608833
95	0.3932974815
96	0.3918257395
97	0.390133667
98	0.3878674189
99	0.3857720693
