Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,KS Statistic
LightGBM V2 Feature Set C,0.6548,0.5517,0.5,0.5246,0.6599,0.3149
XGBoost V2 Feature Set A,0.631,0.5185,0.4375,0.4746,0.649,0.3582
CatBoost V2 Feature Set A,0.5833,0.4634,0.5938,0.5205,0.634,0.274
LightGBM V2 Feature Set A,0.5833,0.4516,0.4375,0.4444,0.628,0.3053
CatBoost V2 Feature Set B,0.631,0.5161,0.5,0.5079,0.6256,0.2308
Random Forest V2 Feature Set A,0.631,0.5161,0.5,0.5079,0.6214,0.2428
Random Forest V2 Feature Set B,0.619,0.5,0.4375,0.4667,0.6172,0.2236
LightGBM V2 Feature Set B,0.631,0.5152,0.5312,0.5231,0.604,0.25
CatBoost V1,0.5595,0.4194,0.4062,0.4127,0.5998,0.2957
CatBoost V2 Feature Set C,0.5833,0.4516,0.4375,0.4444,0.5974,0.2212
XGBoost V2 Feature Set B,0.5952,0.4667,0.4375,0.4516,0.5938,0.1899
LightGBM V1,0.6071,0.48,0.375,0.4211,0.5925,0.3101
XGBoost V2 Feature Set C,0.5833,0.4444,0.375,0.4068,0.5799,0.1851
Logistic Regression V2 Feature Set A,0.5714,0.4474,0.5312,0.4857,0.5703,0.2043
XGBoost V1,0.5833,0.4348,0.3125,0.3636,0.5685,0.2067
Random Forest V2 Feature Set C,0.5714,0.4286,0.375,0.4,0.5661,0.2163
Logistic Regression V1,0.5476,0.4286,0.5625,0.4865,0.5637,0.1707
Random Forest V1,0.5476,0.3929,0.3438,0.3667,0.5535,0.1707
Logistic Regression V2 Feature Set B,0.5357,0.4,0.4375,0.4179,0.5475,0.1514
Logistic Regression V2 Feature Set C,0.5476,0.4062,0.4062,0.4062,0.5246,0.1707
